code,school_rating_mean_1500,school_rating_std_1500,school_count_1500,school_rating_mean_1000,school_rating_std_1000,school_count_1000,school_rating_mean_500,school_rating_std_500,school_count_500,school_min
SW2 5DF,3.2185185185185192,1.9740843661192025,54,2.8208333333333333,2.1276603125962334,24,2.272727272727273,2.2636655711879836,11,0.07968423089837536
SW2 5DG,3.212727272727273,2.0308778019528027,55,2.7576923076923077,2.1298212276006785,26,2.2636363636363637,2.253562835721572,11,0.18785520273885345
SW2 5DH,3.0563636363636366,2.0687949289169425,55,2.3629629629629627,2.1596203633879996,27,1.0857142857142856,1.8622822659562748,7,0.09183786136123932
SW2 5DJ,3.0905660377358495,2.057655887256867,53,2.3629629629629627,2.1596203633879996,27,1.575,2.2108498689094978,8,0.07853650776448695
SW2 5DL,3.146551724137931,2.0515475987432645,58,2.511111111111111,2.1282591899219367,27,2.272727272727273,2.2636655711879836,11,0.12098858053592777
SW2 5DN,3.082142857142857,2.05895888456076,56,2.4214285714285713,2.141712216179199,28,2.0,2.187337295536389,10,0.12906270888861446
SW2 5DP,3.082142857142857,2.05895888456076,56,2.3629629629629627,2.1596203633879996,27,1.0857142857142856,1.8622822659562748,7,0.08733488508064258
SW2 5DQ,3.194545454545455,2.0190223323309673,55,2.765217391304348,2.1575678006100407,23,2.04,2.2431129163632297,10,0.11768110091215227
SW2 5DR,3.1087719298245617,2.0503728495215543,57,2.4214285714285713,2.141712216179199,28,1.911111111111111,2.300784890230095,9,0.15148158131849868
SW2 5DS,3.082142857142857,2.05895888456076,56,2.3629629629629627,2.1596203633879996,27,1.0857142857142856,1.8622822659562748,7,0.11410679024200193
SW2 5DT,3.131034482758621,2.0393675401217797,58,2.3629629629629627,2.1596203633879996,27,1.911111111111111,2.300784890230095,9,0.1652843778242413
SW2 5DU,3.1406779661016953,2.0230668630663624,59,2.2615384615384615,2.1358046583106653,26,1.911111111111111,2.300784890230095,9,0.1859414788793959
SW2 5DW,3.1327586206896556,2.041532614091204,58,2.434615384615385,2.132218057834106,26,2.272727272727273,2.2636655711879836,11,0.12625233478760572
SW2 5DX,3.0661016949152544,2.0566637001918258,59,2.311111111111111,2.1101099740449794,27,1.2666666666666666,1.9714630776828326,6,0.11235192872862218
SW2 5DY,3.0749999999999997,2.0567626813205084,56,2.311111111111111,2.1101099740449794,27,1.2666666666666666,1.9714630776828326,6,0.06195194511004275
SW2 5DZ,3.1440677966101696,2.0253795886408534,59,2.311111111111111,2.1101099740449794,27,1.2666666666666666,1.9714630776828326,6,0.1718593541377393
SW2 5EA,3.0563636363636366,2.0687949289169425,55,2.311111111111111,2.1101099740449794,27,1.2666666666666666,1.9714630776828326,6,0.07483582421735081
SW2 5EB,3.14,2.073340478730095,55,2.511111111111111,2.1282591899219367,27,1.8,2.2869193252058544,7,0.046456729270944436
SW2 5ED,3.1792452830188678,2.061866078856913,53,2.5296296296296297,2.14831146839609,27,1.9555555555555557,2.3622611578269193,9,0.09768396957149601
SW2 5EE,3.0399999999999996,2.0537770083434084,55,2.4,2.123414441151065,28,2.0,2.209977375449803,6,0.19532599235740447
SW2 5EF,3.14,2.073340478730095,55,2.511111111111111,2.1282591899219367,27,1.575,2.2108498689094978,8,0.06461394675383227
SW2 5EL,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5EP,3.164285714285714,2.0624282750220404,56,2.511111111111111,2.1282591899219367,27,1.575,2.2108498689094978,8,0.0866614739602413
SW2 5EQ,3.105555555555556,2.076864169818097,54,2.434615384615385,2.132218057834106,26,1.575,2.2108498689094978,8,0.08854931768201509
SW2 5ES,3.1759259259259265,1.9585261290529388,54,3.0,2.0686059157757937,24,1.4222222222222223,2.22585813663954,9,0.05650364485923679
SW2 5ET,3.1518518518518523,1.9466217220049231,54,3.0,2.0686059157757937,24,2.4857142857142853,2.4409209815344775,7,0.09420084807851982
SW2 5EU,3.185454545454546,1.9445477606029615,55,3.0,2.0686059157757937,24,1.8285714285714287,2.3956309438324634,7,0.14385259658570623
SW2 5EW,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5EY,3.1759259259259265,1.9585261290529388,54,3.0,2.0686059157757937,24,1.4222222222222223,2.22585813663954,9,0.05650364485923679
SW2 5FB,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FD,3.28135593220339,1.9495777240629515,59,2.6904761904761907,2.2317940679876274,21,2.272727272727273,2.2636655711879836,11,0.10676059505694176
SW2 5FE,3.28135593220339,1.9495777240629515,59,2.5749999999999997,2.224475100711224,20,2.272727272727273,2.2636655711879836,11,0.11152729926647842
