code,university_rating_mean_1500,university_rating_std_1500,university_count_1500,university_rating_mean_1000,university_rating_std_1000,university_count_1000,university_rating_mean_500,university_rating_std_500,university_count_500
SE1 7EA,3.3115384615384613,1.9087853568333812,26,2.664705882352941,2.069704440394385,17,1.54,2.1232051243344343,5
SE1 7EB,3.2942857142857145,1.8855398442360427,35,2.875,2.0440156555173448,16,1.95,2.1482551058940835,6
SE1 7ED,3.3115384615384613,1.9087853568333812,26,2.744444444444444,2.0362081894663113,18,1.54,2.1232051243344343,5
SE1 7EE,3.3115384615384613,1.9087853568333812,26,2.3285714285714283,2.1123914888575466,14,1.05,2.1,4
SE1 7EF,3.3115384615384613,1.9087853568333812,26,2.664705882352941,2.069704440394385,17,1.54,2.1232051243344343,5
SE1 7EG,3.4071428571428575,1.8723976649934746,28,2.664705882352941,2.069704440394385,17,1.54,2.1232051243344343,5
SE1 7EH,3.2884615384615383,1.8838953098464728,26,2.65,2.234789859088705,8,0.875,1.75,4
SE1 7EJ,3.3714285714285714,1.8386502986253044,28,2.4583333333333335,2.197295169203733,12,0.875,1.75,4
SE1 7EL,3.4875,1.7619179432396044,32,2.764285714285714,2.167099139706968,14,1.54,2.1232051243344343,5
SE1 7EN,3.3499999999999996,1.8641735051069837,36,3.566666666666667,1.6991347278922326,18,3.4,1.981161275615895,5
SE1 7EP,3.31875,1.8336351169018015,32,3.0818181818181816,2.01286769650575,11,0.875,1.75,4
SE1 7EQ,3.393103448275862,1.809287751433609,29,2.4583333333333335,2.197295169203733,12,1.54,2.1232051243344343,5
SE1 7ER,3.471875,1.750250558099906,32,2.764285714285714,2.167099139706968,14,1.54,2.1232051243344343,5
SE1 7ES,2.506666666666667,2.154220663410939,15,2.34,2.151278689523977,5,0.0,0.0,0
SE1 7ET,2.506666666666667,2.154220663410939,15,2.34,2.151278689523977,5,0.0,0.0,0
SE1 7EU,3.471875,1.750250558099906,32,2.764285714285714,2.167099139706968,14,1.54,2.1232051243344343,5
SE1 7EW,3.31875,1.8336351169018015,32,3.0818181818181816,2.01286769650575,11,0.875,1.75,4
SE1 7EY,3.3322580645161293,1.8808485845089875,31,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7FL,3.3085714285714283,1.8968040347433068,35,2.925,2.0052234420711272,20,1.95,2.1482551058940835,6
SE1 7FN,3.3848484848484848,1.8533957369044953,33,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7FP,3.3848484848484848,1.8533957369044953,33,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7FR,3.3666666666666667,1.825627745918282,33,2.764285714285714,2.167099139706968,14,0.875,1.75,4
SE1 7FS,3.3666666666666667,1.825627745918282,33,2.764285714285714,2.167099139706968,14,0.875,1.75,4
SE1 7FT,3.3666666666666667,1.825627745918282,33,2.764285714285714,2.167099139706968,14,0.875,1.75,4
SE1 7FU,3.3666666666666667,1.825627745918282,33,2.764285714285714,2.167099139706968,14,0.875,1.75,4
SE1 7FW,3.2159999999999997,1.8959781995933744,25,1.94,2.0532900428336958,10,1.54,2.1232051243344343,5
SE1 7FX,3.3666666666666667,1.825627745918282,33,2.764285714285714,2.167099139706968,14,0.875,1.75,4
SE1 7FY,2.276923076923077,2.2327687767111963,13,4.0,0.0,1,4.0,0.0,1
SE1 7FZ,3.3325000000000005,1.8809963944403072,40,3.2809523809523804,1.9247386959322679,21,3.2125000000000004,2.027974006595886,8
SE1 7GA,3.31875,1.8336351169018015,32,2.9899999999999998,2.097326340314682,10,1.1666666666666667,2.0207259421636903,3
SE1 7GB,3.3545454545454545,1.8164338188279303,33,2.9899999999999998,2.097326340314682,10,1.1666666666666667,2.0207259421636903,3
SE1 7GD,3.3545454545454545,1.8164338188279303,33,2.9899999999999998,2.097326340314682,10,1.1666666666666667,2.0207259421636903,3
SE1 7GE,3.3545454545454545,1.8164338188279303,33,2.9899999999999998,2.097326340314682,10,1.1666666666666667,2.0207259421636903,3
SE1 7GF,3.334375,1.84173995134685,32,3.1545454545454543,2.063183770953832,11,2.8333333333333335,2.250925735484551,6
SE1 7GG,2.690909090909091,2.1810339499671003,11,4.0,0.0,1,4.0,0.0,1
SE1 7GH,3.34375,1.8470442822642776,32,3.435714285714286,1.8988284415790306,14,3.4,1.981161275615895,5
