code,hospital_rating_mean_1500,hospital_rating_std_1500,hospital_count_1500,hospital_rating_mean_1000,hospital_rating_std_1000,hospital_count_1000,hospital_rating_mean_500,hospital_rating_std_500,hospital_count_500,hospital_min
SW4 6DT,1.88125,1.8063660574018028,16,1.8777777777777775,1.8342421989596807,9,3.4,0.0,1,0.4636839286624218
SW4 6DU,1.8533333333333333,1.8661904154363955,15,1.8777777777777775,1.8342421989596807,9,0.0,0.0,0,0.5392443780899236
SW4 6DW,1.88125,1.8063660574018028,16,2.4285714285714284,1.7269571368105672,7,3.4,0.0,1,0.299172391141312
SW4 6DX,1.8533333333333333,1.8661904154363955,15,1.385714285714286,1.7591935381764865,7,0.0,0.0,0,0.596280242482704
SW4 6DY,1.8533333333333333,1.8661904154363955,15,1.385714285714286,1.7591935381764865,7,0.0,0.0,0,0.5760719266810568
SW4 6DZ,1.8533333333333333,1.8661904154363955,15,1.8777777777777775,1.8342421989596807,9,3.4,0.0,1,0.469537872683037
SW4 6EA,1.88125,1.8063660574018028,16,2.02,1.8606450494385005,5,3.4,0.0,1,0.3501453940485145
SW4 6EB,1.7705882352941178,1.8075413916015703,17,2.3833333333333333,1.887237840513661,6,3.4,0.0,1,0.3592581941261585
SW4 6ED,1.88125,1.8063660574018028,16,2.1333333333333333,1.687206764645835,6,3.4,0.0,1,0.31977045544561294
SW4 6EE,1.8533333333333333,1.8661904154363955,15,1.616666666666667,1.8071155653877442,6,3.4,0.0,1,0.48209773073842793
SW4 6EF,1.8533333333333333,1.8661904154363955,15,1.616666666666667,1.8071155653877442,6,3.4,0.0,1,0.4911128008852314
SW4 6EG,1.8533333333333333,1.8661904154363955,15,1.616666666666667,1.8071155653877442,6,0.0,0.0,0,0.5201345765132905
SW4 6EH,1.88125,1.8063660574018028,16,2.125,1.8148199438433084,8,3.55,0.21213203435596445,2,0.15714622111583662
SW4 6EJ,1.88125,1.8063660574018028,16,2.125,1.8148199438433084,8,3.55,0.21213203435596445,2,0.10613420297211035
SW4 6EL,1.88125,1.8063660574018028,16,2.125,1.8148199438433084,8,2.3666666666666667,2.0550750189064466,3,0.12061826332371724
SW4 6EN,1.88125,1.8063660574018028,16,1.8142857142857145,1.7305380390970622,7,3.4,0.0,1,0.4274246334157084
SW4 6EP,1.88125,1.8063660574018028,16,2.4285714285714284,1.7269571368105672,7,2.3666666666666667,2.0550750189064466,3,0.15019556574218307
SW4 6EQ,1.8533333333333333,1.8661904154363955,15,1.8142857142857145,1.7305380390970622,7,3.4,0.0,1,0.4630229506346422
SW4 6ER,1.88125,1.8063660574018028,16,2.4285714285714284,1.7269571368105672,7,2.3666666666666667,2.0550750189064466,3,0.195256027579166
SW4 6ES,1.88125,1.8063660574018028,16,2.4285714285714284,1.7269571368105672,7,3.55,0.21213203435596445,2,0.21552116661070864
SW4 6ET,1.88125,1.8063660574018028,16,2.4285714285714284,1.7269571368105672,7,1.7,2.4041630560342613,2,0.25801151376527054
SW4 6EU,1.7705882352941178,1.8075413916015703,17,2.125,1.8148199438433084,8,1.7,2.4041630560342613,2,0.283312621441083
